num_qubits,depth,total_gates,h_gates,x_gates,y_gates,z_gates,cx_gates,cz_gates,rx_gates,ry_gates,rz_gates,measurement_gates,barriers,circuit_name,attack_type,noise_rate,sample_id,tvd,label
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.005,0,0.9949999999999997,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.005,1,0.9949999999999998,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.005,2,0.995,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.01,0,0.9899999999999997,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.01,1,0.9949999999999997,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.01,2,0.9949999999999998,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.02,0,0.9949999999999999,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.02,1,0.965,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.02,2,0.9799999999999996,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.03,0,0.9599999999999999,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.03,1,0.975,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.03,2,0.9749999999999998,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.04,0,0.9799999999999999,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.04,1,0.9699999999999998,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.04,2,0.9799999999999999,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.05,0,0.9599999999999999,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.05,1,0.9599999999999999,1
4,12,26,2,2,0,0,9,0,0,0,0,4,0,adder_n4.qasm,gate_deletion,0.05,2,0.985,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.005,0,0.9899999999999998,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.005,1,0.9999999999999998,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.005,2,0.9849999999999999,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.01,0,0.9949999999999998,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.01,1,0.98,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.01,2,0.9949999999999999,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.02,0,0.9699999999999998,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.02,1,0.935,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.02,2,0.95,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.03,0,0.9399999999999998,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.03,1,0.9599999999999999,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.03,2,0.9649999999999999,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.04,0,0.9149999999999999,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.04,1,0.91,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.04,2,0.9549999999999998,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.05,0,0.9199999999999999,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.05,1,0.9449999999999997,1
4,12,28,2,3,0,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_insertion,0.05,2,0.94,1
4,12,27,2,2,1,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_substitution,0.005,0,0.9849999999999998,1
4,12,27,2,2,1,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_substitution,0.005,1,0.9899999999999998,1
4,12,27,2,2,1,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_substitution,0.005,2,0.9949999999999997,1
4,12,27,2,2,1,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_substitution,0.01,0,0.9899999999999999,1
4,12,27,2,2,1,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_substitution,0.01,1,0.9849999999999998,1
4,12,27,2,2,1,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_substitution,0.01,2,0.9949999999999998,1
4,12,27,2,2,1,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_substitution,0.02,0,0.9749999999999998,1
4,12,27,2,2,1,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_substitution,0.02,1,0.9849999999999999,1
4,12,27,2,2,1,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_substitution,0.02,2,0.97,1
4,12,27,2,2,1,0,10,0,0,0,0,4,0,adder_n4.qasm,gate_substitution,0.03,0,0.9650000000000001,1
